Sample	Moss	Chamber	Microbe	Week	TotalArea
Magellanicum.4.5C.4.5M.rep7	Magellanicum	4.5C	4.5M	Week.4	0.34461493
Magellanicum.4.5C.4.5M.rep8	Magellanicum	4.5C	4.5M	Week.4	0.22677732
Magellanicum.4.5C.4.5M.rep9	Magellanicum	4.5C	4.5M	Week.4	0.20552682
Magellanicum.4.5C.9M.rep1	Magellanicum	4.5C	9M	Week.4	0.32199992
Magellanicum.4.5C.9M.rep10	Magellanicum	4.5C	9M	Week.4	0.28442554
Magellanicum.4.5C.9M.rep11	Magellanicum	4.5C	9M	Week.4	0.21066055
Magellanicum.4.5C.9M.rep12	Magellanicum	4.5C	9M	Week.4	0.23611117
Magellanicum.4.5C.9M.rep2	Magellanicum	4.5C	9M	Week.4	0.25560363
Magellanicum.4.5C.9M.rep3	Magellanicum	4.5C	9M	Week.4	0.27854063
Magellanicum.4.5C.9M.rep4	Magellanicum	4.5C	9M	Week.4	0.25980321
Magellanicum.4.5C.9M.rep5	Magellanicum	4.5C	9M	Week.4	0.22537938
Magellanicum.4.5C.9M.rep6	Magellanicum	4.5C	9M	Week.4	0.24029708
Magellanicum.4.5C.9M.rep7	Magellanicum	4.5C	9M	Week.4	0.2196244
Magellanicum.4.5C.9M.rep8	Magellanicum	4.5C	9M	Week.4	0.21186154
Magellanicum.4.5C.9M.rep9	Magellanicum	4.5C	9M	Week.4	0.24165944
Magellanicum.4.5C.ControlM.rep1	Magellanicum	4.5C	Control	Week.4	0.09965902
Magellanicum.4.5C.ControlM.rep10	Magellanicum	4.5C	Control	Week.4	0.15413013
Magellanicum.4.5C.ControlM.rep11	Magellanicum	4.5C	Control	Week.4	0.1910792
Magellanicum.4.5C.ControlM.rep12	Magellanicum	4.5C	Control	Week.4	0.22029227
Magellanicum.4.5C.ControlM.rep2	Magellanicum	4.5C	Control	Week.4	0.16207887
Magellanicum.4.5C.ControlM.rep3	Magellanicum	4.5C	Control	Week.4	0.27410582
Magellanicum.4.5C.ControlM.rep4	Magellanicum	4.5C	Control	Week.4	0.18377835
Magellanicum.4.5C.ControlM.rep5	Magellanicum	4.5C	Control	Week.4	0.09197137
Magellanicum.4.5C.ControlM.rep6	Magellanicum	4.5C	Control	Week.4	0.10847806
Magellanicum.4.5C.ControlM.rep7	Magellanicum	4.5C	Control	Week.4	0.15146121
Magellanicum.4.5C.ControlM.rep8	Magellanicum	4.5C	Control	Week.4	0.19253937
Magellanicum.4.5C.ControlM.rep9	Magellanicum	4.5C	Control	Week.4	0.22179112
Magellanicum.9C.0M.rep1	Magellanicum	9C	0M	Week.4	0.15787762
Magellanicum.9C.0M.rep10	Magellanicum	9C	0M	Week.4	0.2861773
Magellanicum.9C.0M.rep11	Magellanicum	9C	0M	Week.4	0.33414485
Magellanicum.9C.0M.rep12	Magellanicum	9C	0M	Week.4	0.25527868
Magellanicum.9C.0M.rep2	Magellanicum	9C	0M	Week.4	0.17896393
Magellanicum.9C.0M.rep3	Magellanicum	9C	0M	Week.4	0.20353491
Magellanicum.9C.0M.rep4	Magellanicum	9C	0M	Week.4	0.23286552
Magellanicum.9C.0M.rep5	Magellanicum	9C	0M	Week.4	0.34861943
Magellanicum.9C.0M.rep6	Magellanicum	9C	0M	Week.4	0.164232
Magellanicum.9C.0M.rep7	Magellanicum	9C	0M	Week.4	0.23731486
Magellanicum.9C.0M.rep8	Magellanicum	9C	0M	Week.4	0.1456758
Magellanicum.9C.0M.rep9	Magellanicum	9C	0M	Week.4	0.316876
Magellanicum.9C.4.5M.rep1	Magellanicum	9C	4.5M	Week.4	0.31542525
Magellanicum.9C.4.5M.rep10	Magellanicum	9C	4.5M	Week.4	0.17474206
Magellanicum.9C.4.5M.rep11	Magellanicum	9C	4.5M	Week.4	0.17353704
Magellanicum.9C.4.5M.rep12	Magellanicum	9C	4.5M	Week.4	0.13400098
Magellanicum.9C.4.5M.rep2	Magellanicum	9C	4.5M	Week.4	0.2910355
Magellanicum.9C.4.5M.rep3	Magellanicum	9C	4.5M	Week.4	0.25500825
Magellanicum.9C.4.5M.rep4	Magellanicum	9C	4.5M	Week.4	0.268324
Magellanicum.9C.4.5M.rep5	Magellanicum	9C	4.5M	Week.4	0.25235
Magellanicum.9C.4.5M.rep6	Magellanicum	9C	4.5M	Week.4	0.37503375
Magellanicum.9C.4.5M.rep7	Magellanicum	9C	4.5M	Week.4	0.3130855
Magellanicum.9C.4.5M.rep8	Magellanicum	9C	4.5M	Week.4	0.14832854
Magellanicum.9C.4.5M.rep9	Magellanicum	9C	4.5M	Week.4	0.16918476
Magellanicum.9C.9M.rep1	Magellanicum	9C	9M	Week.4	0.17281622
Magellanicum.9C.9M.rep10	Magellanicum	9C	9M	Week.4	0.2533167
Magellanicum.9C.9M.rep11	Magellanicum	9C	9M	Week.4	0.39092427
Magellanicum.9C.9M.rep12	Magellanicum	9C	9M	Week.4	0.19469404
Magellanicum.9C.9M.rep2	Magellanicum	9C	9M	Week.4	0.38849773
Magellanicum.9C.9M.rep3	Magellanicum	9C	9M	Week.4	0.2006326
Magellanicum.9C.9M.rep4	Magellanicum	9C	9M	Week.4	0.24841945
Magellanicum.9C.9M.rep5	Magellanicum	9C	9M	Week.4	0.18408505
Magellanicum.9C.9M.rep6	Magellanicum	9C	9M	Week.4	0.14710308
Magellanicum.9C.9M.rep7	Magellanicum	9C	9M	Week.4	0.38755252
Magellanicum.9C.9M.rep8	Magellanicum	9C	9M	Week.4	0.18230142
Magellanicum.9C.9M.rep9	Magellanicum	9C	9M	Week.4	0.19553946
Magellanicum.9C.ControlM.rep1	Magellanicum	9C	Control	Week.4	0.17194033
Magellanicum.9C.ControlM.rep10	Magellanicum	9C	Control	Week.4	0.17247396
Magellanicum.9C.ControlM.rep11	Magellanicum	9C	Control	Week.4	0.26808082
Magellanicum.9C.ControlM.rep12	Magellanicum	9C	Control	Week.4	0.17912594
Magellanicum.9C.ControlM.rep2	Magellanicum	9C	Control	Week.4	0.13855743
Magellanicum.9C.ControlM.rep3	Magellanicum	9C	Control	Week.4	0.19815025
Magellanicum.9C.ControlM.rep4	Magellanicum	9C	Control	Week.4	0.19383135
Magellanicum.9C.ControlM.rep5	Magellanicum	9C	Control	Week.4	0.1117146
Magellanicum.9C.ControlM.rep6	Magellanicum	9C	Control	Week.4	0.12066221
Magellanicum.9C.ControlM.rep7	Magellanicum	9C	Control	Week.4	0.13124772
Magellanicum.9C.ControlM.rep8	Magellanicum	9C	Control	Week.4	0.242516
Magellanicum.9C.ControlM.rep9	Magellanicum	9C	Control	Week.4	0.118416
